instance,number of operations,slack time,average object MA - carbon,coefficient of variation MA-carbon,average time MA-carbon,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average cost MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M1T3_37.cas,34,2,20276349.12,0.010904354560649821,3.12,26857845.0669,60.143582820892334,20936311.6308,1809.63006234169,16788002.85,287.3,16399360.39,21344927.5,287.0,286.0,32301616.2,25470874.1
CAS-PFSP-M1T3_38.cas,33,14,22861828.29,0.006840252145030874,2.96,24116315.417900003,60.17944288253784,22632288.6405,1803.9455683231356,17285002.03,283.0,16713366.32,23287409.41,284.3,274.0,31629753.68,23686818.61
CAS-PFSP-M1T3_39.cas,33,12,15215837.81,0.004347072492881679,2.95,16711954.8501,60.10717010498047,15118313.371599998,1800.27020072937,12125536.79,287.7,10290513.54,15685883.74,287.6,276.0,21094644.52,22022914.46
CAS-PFSP-M1T3_40.cas,29,8,20388509.49,0.0013381998332630447,2.6,21739739.0624,60.06824016571045,20270878.9754,1807.7339165210724,21903436.65,287.9,19563065.66,21202237.38,287.5,280.0,25180770.6,28446308.2
CAS-PFSP-M1T3_41.cas,32,6,13256593.2,0.0014025420950535014,2.86,14659042.9073,60.13023567199707,13285345.7165,1808.4130449295044,19549032.95,286.2,16674664.49,14034225.26,285.8,282.0,15713244.0,24219953.12
CAS-PFSP-M1T3_42.cas,28,4,26680037.16,0.000642375042329214,2.53,28992793.293,60.0948646068573,26628806.3945,1802.604981660843,33438122.47,287.9,32463506.5,27986709.85,287.9,284.0,34604595.94,39872183.17
CAS-PFSP-M1T3_43.cas,37,3,27339464.64,0.005427778559456093,3.28,36749364.5133,60.115602016448975,27397355.993299995,1800.4479115009308,22998010.97,287.9,22417128.15,28635085.84,286.6,285.0,38362879.55,30038247.28
CAS-PFSP-M1T3_44.cas,30,4,32046828.51,0.0008937948412293606,2.69,33810231.1005,60.05070734024048,32061895.9001,1804.965218782425,20149460.66,288.0,12072758.53,36954025.2,287.0,284.0,37392483.92,19567849.74
CAS-PFSP-M1T3_45.cas,35,3,30762075.89,0.0022365844309735236,3.2,37474522.1596,60.11781096458435,30969510.3645,1803.3904054164889,21795324.57,285.9,21197906.81,31566601.33,286.9,285.0,37504129.61,26321163.24
CAS-PFSP-M1T3_46.cas,36,6,28507660.29,0.0007819550876232221,3.21,31855647.6264,60.04236888885498,28555041.42440005,1800.6550285816193,31126444.63,288.0,30739183.86,29199102.39,288.0,282.0,36174220.3,37447341.84
CAS-PFSP-M1T3_47.cas,34,2,20794592.11,0.0009685229646949782,3.03,21386634.0017,60.07576107978821,20848502.2887,1800.3062689304352,13959961.9,288.0,9336764.96,21905588.34,288.0,286.0,22797118.34,16009085.15
CAS-PFSP-M1T3_48.cas,25,10,16915463.34,0.0078071441110167065,2.27,19708832.2117,60.08238124847412,16457973.394599998,1810.9012596607208,22549551.18,287.8,20174139.83,18357990.12,287.8,278.0,28965736.22,37952526.01
CAS-PFSP-M1T3_49.cas,29,9,41102053.52,0.0012316956371867427,2.6,44014721.1638,60.177507400512695,40959966.8722,1800.727919101715,21628888.14,285.1,21061066.01,43121570.67,287.0,279.0,50597490.52,25292851.27
CAS-PFSP-M1T3_50.cas,35,9,17860838.21,0.008652130890110112,3.12,19160642.6391,60.127185106277466,17597940.2154,1806.1891613006592,13549664.66,287.5,13015533.31,18688009.87,286.3,279.0,24013007.51,17947004.16
